"status","object","key","field","before","now","proposed","pathway","verdict","round","source","why"
"APPLIED","CP_BY_SUBCAT","feedlot_cattle","value","10","14","","gross energy and N excretion","CONFIRMED","","2019R V4 Ch10 Table 10A.2 (New), Latin America and North America Feedlot cattle both give CP in diet 14.0%",""
"APPLIED","DE_BY_SUBCAT","feedlot_cattle","value","55","74","","gross energy and N excretion","CONFIRMED","","2019R V4 Ch10 Table 10A.2 (New), Latin America Feedlot cattle: digestibility of feed 74%. Required by Table 10.12, whose feedlot Ym of 4.0 is conditional on DE >= 72; the catalogue default of 55 would violate that precondition",""
"APPLIED","MMS_DEFAULTS","anaerobic_digester","mcf_boreal","1","3.55","","manure CH4","CONFIRMED","","2019R V4 Ch10 Table 10A.11, high quality biogas digester with open storage: 3.55 cold / 4.38 temperate / 4.59 warm. The 2006 table gives only a 0 to 100% range requiring Formula 1",""
"APPLIED","MMS_DEFAULTS","anaerobic_digester","mcf_temperate","1","4.38","","manure CH4","CONFIRMED","","2019R V4 Ch10 Table 10A.11, high quality biogas digester with open storage: 3.55 cold / 4.38 temperate / 4.59 warm. The 2006 table gives only a 0 to 100% range requiring Formula 1",""
"APPLIED","MMS_DEFAULTS","anaerobic_digester","mcf_tropical","3.5","4.59","","manure CH4","CONFIRMED","","2019R V4 Ch10 Table 10A.11, high quality biogas digester with open storage: 3.55 cold / 4.38 temperate / 4.59 warm. The 2006 table gives only a 0 to 100% range requiring Formula 1",""
"APPLIED","MMS_DEFAULTS","anaerobic_digester","mcf_tropical_dry","3.5","4.59","","manure CH4","DEVIATION_DOCUMENTED","","Mirrors mcf_tropical on every system. The 2019 Refinement splits ten climate zones including Tropical Dry, which the tool's four-band model does not resolve; the tropical value is used for both",""
"APPLIED","MMS_DEFAULTS","composting","ef3","0.006","0.01","","direct N2O, manure management","CONFIRMED","ours","2019R V4 Ch10 Table 10.21 (Updated), Composting - Static Pile (Forced aeration): 0.010",""
"APPLIED","MMS_DEFAULTS","deep_bedding","mcf_boreal","3","17","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Cattle and Swine deep bedding > 1 month: 17 / 39 / 80. boreal = the '<= 10 C' column, temperate = the '19 C' column, tropical = the '>= 28 C' column",""
"APPLIED","MMS_DEFAULTS","deep_bedding","mcf_temperate","17","39","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Cattle and Swine deep bedding > 1 month: 17 / 39 / 80. boreal = the '<= 10 C' column, temperate = the '19 C' column, tropical = the '>= 28 C' column",""
"APPLIED","MMS_DEFAULTS","deep_bedding","mcf_tropical","30","80","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Cattle and Swine deep bedding > 1 month: 17 / 39 / 80. boreal = the '<= 10 C' column, temperate = the '19 C' column, tropical = the '>= 28 C' column",""
"APPLIED","MMS_DEFAULTS","deep_bedding","mcf_tropical_dry","30","80","","manure CH4","DEVIATION_DOCUMENTED","","Mirrors mcf_tropical on every system. The 2019 Refinement splits ten climate zones including Tropical Dry, which the tool's four-band model does not resolve; the tropical value is used for both",""
"APPLIED","MMS_DEFAULTS","dry_lot","mcf_tropical","5","2","","manure CH4","CONFIRMED","ours","2006 V4 Ch10 Table 10.17, MCF by average annual temperature and 2019R V4 Ch10 Table 10.17 (Updated), Dry lot: 1.0 / 1.5 / 2.0",""
"APPLIED","MMS_DEFAULTS","dry_lot","mcf_tropical_dry","5","2","","manure CH4","DEVIATION_DOCUMENTED","ours","Mirrors mcf_tropical on every system. The 2019 Refinement splits ten climate zones including Tropical Dry, which the tool's four-band model does not resolve; the tropical value is used for both",""
"APPLIED","MMS_DEFAULTS","lagoon","mcf_temperate","66","77","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Uncovered anaerobic lagoon: 66 / 77 / 80. boreal = the '<= 10 C' column, temperate = the '19 C' column, tropical = the '>= 28 C' column",""
"APPLIED","MMS_DEFAULTS","liquid_slurry","mcf_temperate","35","24","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Liquid/Slurry with natural crust cover: 10 / 24 / 50. boreal = the '<= 10 C' column, temperate = the '19 C' column, tropical = the '>= 28 C' column",""
"APPLIED","MMS_DEFAULTS","liquid_slurry","mcf_tropical","80","50","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Liquid/Slurry with natural crust cover: 10 / 24 / 50. boreal = the '<= 10 C' column, temperate = the '19 C' column, tropical = the '>= 28 C' column",""
"APPLIED","MMS_DEFAULTS","liquid_slurry","mcf_tropical_dry","80","50","","manure CH4","DEVIATION_DOCUMENTED","","Mirrors mcf_tropical on every system. The 2019 Refinement splits ten climate zones including Tropical Dry, which the tool's four-band model does not resolve; the tropical value is used for both",""
"APPLIED","MMS_DEFAULTS","pasture","mcf_temperate","1","1.5","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Pasture/Range/Paddock: 1.0 / 1.5 / 2.0",""
"APPLIED","MMS_DEFAULTS","pasture","mcf_tropical","1.5","2","","manure CH4","CONFIRMED","","2006 V4 Ch10 Table 10.17, MCF by average annual temperature, Pasture/Range/Paddock: 1.0 / 1.5 / 2.0",""
"APPLIED","MMS_DEFAULTS","pasture","mcf_tropical_dry","1.5","2","","manure CH4","DEVIATION_DOCUMENTED","","Mirrors mcf_tropical on every system. The 2019 Refinement splits ten climate zones including Tropical Dry, which the tool's four-band model does not resolve; the tropical value is used for both",""
"APPLIED","MMS_DEFAULTS","solid_storage","mcf_boreal","3","2","","manure CH4","CONFIRMED","ours","2006 V4 Ch10 Table 10.17, MCF by average annual temperature and 2019R V4 Ch10 Table 10.17 (Updated), Solid storage: 2.0 / 4.0 / 5.0",""
"APPLIED","MMS_DEFAULTS","solid_storage_covered","mcf_boreal","1","2","","manure CH4","CONFIRMED","","2019R V4 Ch10 Table 10.17 (Updated), Solid storage - Covered/compacted: 2.00 / 4.00 / 5.00",""
"APPLIED","MMS_DEFAULTS","solid_storage_covered","mcf_temperate","2","4","","manure CH4","CONFIRMED","","2019R V4 Ch10 Table 10.17 (Updated), Solid storage - Covered/compacted: 2.00 / 4.00 / 5.00",""
"APPLIED","MMS_DEFAULTS","solid_storage_covered","mcf_tropical","4","5","","manure CH4","CONFIRMED","","2019R V4 Ch10 Table 10.17 (Updated), Solid storage - Covered/compacted: 2.00 / 4.00 / 5.00",""
"APPLIED","MMS_DEFAULTS","solid_storage_covered","mcf_tropical_dry","4","5","","manure CH4","DEVIATION_DOCUMENTED","","Mirrors mcf_tropical on every system. The 2019 Refinement splits ten climate zones including Tropical Dry, which the tool's four-band model does not resolve; the tropical value is used for both",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","composting","frac_gas_high","0.98","0.7","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Composting Static Pile: 0.65 (0.14-0.70), leach 0.06",""
"APPLIED","MMS_FRAC_DEFAULTS_2019","composting","frac_gas_low","0.33","0.14","","indirect N2O (volatilisation)","CONFIRMED","ours","2019R V4 Ch10 Table 10.22 (Updated), Other Cattle column, pp.10.97-98. Composting Static Pile: 0.65 (0.14-0.70), leach 0.06",""
