"object","key","field","value","row_order","baseline_commit","baseline_date"
"PARAM_CATALOGUE","N","definition","Number of animals in this sub-category","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","unit","head","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","ipcc_default",<NA>,"1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","suggested_uncertainty_pct","10","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","suggested_distribution","normal","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","suggested_lower_bound",<NA>,"1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","suggested_upper_bound",<NA>,"1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","param_type","activity_data","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","param_tier","core","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","user_reducible","TRUE","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","ipcc_ref","","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","N","ipcc_software_name","N(T) — Annual Average Population (head)","1","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","definition","Average live body weight of the animals","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","unit","kg","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","ipcc_default","275","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","suggested_uncertainty_pct","15","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","suggested_distribution","normal","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","suggested_lower_bound",<NA>,"2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","suggested_upper_bound",<NA>,"2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","param_type","coefficient","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","param_tier","core","2","fbfa1bc","2026-07-10"
"PARAM_CATALOGUE","BW","user_reducible","TRUE","2","fbfa1bc","2026-07-10"
