"object","key","field","value","row_order","review_round","review_authority","ipcc_verdict","ipcc_source"
"PARAM_CATALOGUE","N","definition","Number of animals in this sub-category",1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","unit","head",1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","ipcc_default",<NA>,1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","suggested_uncertainty_pct","10",1,"","","NOT_IPCC","Penman et al. (2000) IPCC Good Practice Guidance and Monni et al. (2007). Disclosed as a non-IPCC suggestion in the user guide"
"PARAM_CATALOGUE","N","suggested_distribution","normal",1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","suggested_lower_bound",<NA>,1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","suggested_upper_bound",<NA>,1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","param_type","activity_data",1,"R1 Divergence 2","reviewer","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","param_tier","core",1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","user_reducible","TRUE",1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","ipcc_ref","",1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","N","ipcc_software_name","N(T) — Annual Average Population (head)",1,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","definition","Average live body weight of the animals",2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","unit","kg",2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","ipcc_default","270",2,"","","CONFIRMED","2019R V4 Ch10 Table 10A.1 (New), Africa LOW PRODUCTIVITY SYSTEMS row, p.10.104: Weight 270 kg. Declared basis, adopted 2026-09-11: where Table 10A.1 offers an aggregate, a high-productivity and a low-productivity row, the tool takes LOW PRODUCTIVITY. That is the row whose Pasture/Range feeding situation matches Ca 0.17, and it is consistent with Bo 0.13, which Table 10.16A footnote 1 makes the Tier 1 default for other regions."
"PARAM_CATALOGUE","BW","suggested_uncertainty_pct","15",2,"","","NOT_IPCC","Penman et al. (2000) IPCC Good Practice Guidance and Monni et al. (2007). Disclosed as a non-IPCC suggestion in the user guide"
"PARAM_CATALOGUE","BW","suggested_distribution","normal",2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","suggested_lower_bound",<NA>,2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","suggested_upper_bound",<NA>,2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","param_type","coefficient",2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","param_tier","core",2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","user_reducible","TRUE",2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","ipcc_ref","Table 10A.2",2,"","","META","Descriptive field, not a shipped numeric default"
"PARAM_CATALOGUE","BW","ipcc_software_name","BW — Body weight (kg) [also TAM = Typical Animal Mass; IPCC Eq 10.3/10.6/10.17/10.18]",2,"","","META","Descriptive field, not a shipped numeric default"
